# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 1
# nk = 757
11.1802 1.32334e-09 11122480
11.2546 1.27538e-09 11104984
11.3296 1.23027e-09 11085376
11.405 1.18756e-09 11049712
11.4809 1.14521e-09 11013328
11.5573 1.10537e-09 10970140
11.6343 1.06666e-09 10943872
11.7117 1.02978e-09 10885456
11.7897 9.9492e-10 10833720
11.8682 9.60693e-10 10777816
11.9472 9.28157e-10 10724320
12.0267 8.97017e-10 10657576
12.1068 8.67648e-10 10579924
12.1874 8.37819e-10 10508784
12.2685 8.10735e-10 10422700
12.3502 7.85084e-10 10345720
12.4324 7.58574e-10 10248148
12.5151 7.34524e-10 10144776
12.5985 7.11484e-10 10050904
12.6823 6.88747e-10 9924772
12.7667 6.68248e-10 9816636
12.8517 6.47666e-10 9692764
12.9373 6.28284e-10 9567688
13.0234 6.10242e-10 9424104
13.1101 5.92567e-10 9278716
13.1973 5.75408e-10 9127788
13.2852 5.59446e-10 8968792
13.3736 5.44081e-10 8801068
13.4626 5.29426e-10 8626764
13.5522 5.16115e-10 8444740
13.6424 5.03348e-10 8248812
13.7332 4.90494e-10 8050900
13.8247 4.78962e-10 7840044
13.9167 4.68064e-10 7621816
14.0093 4.57551e-10 7391184
14.1025 4.48221e-10 7158996
14.1964 4.38982e-10 6904924
14.2909 4.30278e-10 6649248
14.386 4.21718e-10 6384676
14.4818 4.12942e-10 6098844
14.5781 4.04648e-10 5811012
14.6751 3.96737e-10 5508112
14.7727 3.88583e-10 5195916
14.8711 3.80269e-10 4872228
14.97 3.69718e-10 4531392
15.0695 3.58796e-10 4181068
15.1698 3.45533e-10 3827115
15.2709 3.3354e-10 3511752
15.3726 3.23931e-10 3240696
15.4749 3.15001e-10 2990682
15.5779 3.06794e-10 2763190
15.6816 2.99512e-10 2544444
15.786 2.92984e-10 2340936
15.8911 2.86751e-10 2149530
15.9968 2.80906e-10 1967724
16.1033 2.76676e-10 1794918
16.2104 2.72072e-10 1632468
16.3183 2.67912e-10 1477728
16.4269 2.64968e-10 1333008
16.5362 2.6285e-10 1194306
16.6462 2.60473e-10 1064754
16.757 2.58782e-10 941964
16.8685 2.58322e-10 826020
16.9806 2.57539e-10 718284
17.0936 2.57817e-10 619944
17.2072 2.59569e-10 524820
17.3216 2.60673e-10 441182
17.4366 2.63225e-10 360702
17.5525 2.6717e-10 292782
17.6693 2.74371e-10 228006
17.7861 2.81349e-10 171158
17.9035 2.88997e-10 124494
18.0221 2.9374e-10 84168
18.1408 3.03835e-10 51006
18.2586 3.19375e-10 26360
18.374 3.25687e-10 9960
18.4789 3.43437e-10 1561
