# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.867238
# nk = 757
4.35788 1.57399e-07 752546
4.38688 1.51243e-07 763760
4.41605 1.45289e-07 782498
4.44546 1.40233e-07 797178
4.47509 1.35153e-07 814976
4.50493 1.29457e-07 831266
4.53494 1.25136e-07 845696
4.56506 1.20473e-07 860234
4.59545 1.15902e-07 883928
4.62609 1.11355e-07 898338
4.65691 1.07381e-07 917576
4.68789 1.033e-07 933194
4.71906 9.9295e-08 952736
4.75048 9.5569e-08 974522
4.78209 9.19304e-08 990032
4.8139 8.85039e-08 1013438
4.84595 8.52185e-08 1031168
4.87821 8.20604e-08 1055610
4.91071 7.87186e-08 1074440
4.94338 7.59952e-08 1095146
4.97629 7.27857e-08 1119584
5.00945 7.00083e-08 1141922
5.04276 6.74831e-08 1160216
5.07626 6.49659e-08 1185992
5.1101 6.24081e-08 1215422
5.14418 5.99695e-08 1235072
5.1784 5.773e-08 1259024
5.21287 5.56924e-08 1286210
5.24757 5.34761e-08 1310960
5.2825 5.14342e-08 1338056
5.31768 4.95087e-08 1364966
5.35308 4.75219e-08 1391768
5.38871 4.57922e-08 1420448
5.42459 4.40005e-08 1448858
5.46071 4.23328e-08 1477952
5.49705 4.08206e-08 1506308
5.53363 3.91956e-08 1538144
5.57046 3.77941e-08 1567562
5.60749 3.6502e-08 1596704
5.64482 3.50007e-08 1635572
5.68244 3.36598e-08 1666520
5.72029 3.23488e-08 1699304
5.7584 3.10891e-08 1734278
5.79671 2.99468e-08 1764392
5.83528 2.88026e-08 1804904
5.87416 2.7716e-08 1841024
5.91325 2.66081e-08 1873820
5.95258 2.56145e-08 1913600
5.99221 2.46472e-08 1952864
6.03213 2.36652e-08 1994966
6.07232 2.28067e-08 2032160
6.11272 2.19313e-08 2070124
6.15341 2.10848e-08 2117456
6.1944 2.02497e-08 2156600
6.23563 1.94708e-08 2200316
6.27716 1.877e-08 2247272
6.31895 1.80599e-08 2287460
6.36099 1.73683e-08 2335424
6.40334 1.67194e-08 2383216
6.44597 1.60728e-08 2430548
6.48883 1.54478e-08 2474288
6.53202 1.48483e-08 2533724
6.57553 1.42892e-08 2578544
6.61931 1.37417e-08 2634154
6.66339 1.32112e-08 2685200
6.70776 1.27127e-08 2740268
6.7524 1.22275e-08 2791568
6.79737 1.17452e-08 2854940
6.84263 1.12988e-08 2904208
6.88816 1.08721e-08 2965964
6.93399 1.04509e-08 3022550
6.98015 1.00615e-08 3089068
7.02663 9.68085e-09 3148604
7.0734 9.30415e-09 3210680
7.12047 8.95331e-09 3275210
7.16789 8.60441e-09 3346312
7.21564 8.26645e-09 3408932
7.26365 7.94965e-09 3475196
7.312 7.64091e-09 3550342
7.36069 7.33776e-09 3618788
7.40968 7.0594e-09 3690872
7.459 6.78999e-09 3765538
7.50862 6.53166e-09 3838964
7.5586 6.27673e-09 3920362
7.60894 6.05008e-09 4000832
7.65961 5.81747e-09 4077428
7.7106 5.58709e-09 4160626
7.76192 5.36717e-09 4243208
7.81363 5.16317e-09 4335538
7.86566 4.97317e-09 4413500
7.91801 4.78222e-09 4505450
7.97072 4.59787e-09 4596040
8.02376 4.42721e-09 4684418
8.07717 4.25485e-09 4784836
8.13095 4.08603e-09 4877354
8.18507 3.93732e-09 4975786
8.23956 3.78664e-09 5078756
8.29442 3.64338e-09 5177662
8.34962 3.50402e-09 5280932
8.40521 3.36955e-09 5391274
8.46119 3.24469e-09 5500906
8.51752 3.1213e-09 5604530
8.57417 3.0062e-09 5715700
8.63126 2.89368e-09 5842058
8.68876 2.78758e-09 5955226
8.74657 2.67999e-09 6063770
8.80479 2.58087e-09 6202156
8.86345 2.48365e-09 6320530
8.92244 2.39484e-09 6442874
8.98183 2.30522e-09 6578986
9.04164 2.2221e-09 6707818
9.10181 2.13744e-09 6838082
9.1624 2.06132e-09 6987316
9.22341 1.98668e-09 7117018
9.28477 1.91585e-09 7259306
9.34659 1.84859e-09 7415650
9.40883 1.78152e-09 7558810
9.47148 1.72007e-09 7716338
9.53453 1.65866e-09 7860058
9.59797 1.59985e-09 8022286
9.66188 1.54579e-09 8191498
9.72619 1.49416e-09 8341402
9.79093 1.44192e-09 8524784
9.85612 1.39438e-09 8686018
9.92173 1.34935e-09 8865142
9.98778 1.30474e-09 9040714
10.0543 1.26362e-09 9225754
10.1212 1.22345e-09 9409058
10.1886 1.18622e-09 9599212
10.2564 1.14927e-09 9792874
10.3247 1.11484e-09 9989362
10.3934 1.08372e-09 10185502
10.4626 1.05269e-09 10394392
10.5323 1.02159e-09 10607554
10.6024 9.94412e-10 10813990
10.6729 9.68499e-10 11029240
10.7439 9.40354e-10 11191111
10.8154 9.07341e-10 11185948
10.8874 8.73896e-10 11191384
10.9599 8.41934e-10 11166280
11.0329 8.11299e-10 11162812
11.1063 7.82266e-10 11148064
11.1802 7.5435e-10 11122480
11.2546 7.27044e-10 11104984
11.3296 7.01141e-10 11085376
11.405 6.76299e-10 11049712
11.4809 6.52647e-10 11013328
11.5573 6.29441e-10 10970140
11.6343 6.07655e-10 10943872
11.7117 5.86751e-10 10885456
11.7897 5.65777e-10 10833720
11.8682 5.46697e-10 10777816
11.9472 5.27887e-10 10724320
12.0267 5.10342e-10 10657576
12.1068 4.92867e-10 10579924
12.1874 4.76437e-10 10508784
12.2685 4.60894e-10 10422700
12.3502 4.4611e-10 10345720
12.4324 4.31573e-10 10248148
12.5151 4.17854e-10 10144776
12.5985 4.04553e-10 10050904
12.6823 3.92076e-10 9924772
12.7667 3.79715e-10 9816636
12.8517 3.6825e-10 9692764
12.9373 3.56957e-10 9567688
13.0234 3.46685e-10 9424104
13.1101 3.36147e-10 9278716
13.1973 3.26714e-10 9127788
13.2852 3.17808e-10 8968792
13.3736 3.09308e-10 8801068
13.4626 3.01075e-10 8626764
13.5522 2.93219e-10 8444740
13.6424 2.85745e-10 8248812
13.7332 2.78911e-10 8050900
13.8247 2.72174e-10 7840044
13.9167 2.65622e-10 7621816
14.0093 2.60057e-10 7391184
14.1025 2.54528e-10 7158996
14.1964 2.4912e-10 6904924
14.2909 2.43799e-10 6649248
14.386 2.38721e-10 6384676
14.4818 2.34254e-10 6098844
14.5781 2.29764e-10 5811012
14.6751 2.25094e-10 5508112
14.7727 2.2042e-10 5195916
